케이맥(043290),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-04-26,12400,12800,12100,12550,161217,85817.0,6838015.0
2013-04-29,12700,12700,12350,12350,63128,84449.0,6838015.0
2013-04-30,12800,13300,12450,13100,194025,89578.0,6838015.0
2013-05-02,13150,13350,12650,13200,117366,90262.0,6838015.0
2013-05-03,13150,13150,12600,12900,85146,88210.0,6838015.0
2013-05-06,12900,13150,12700,12800,48321,87527.0,6838015.0
2013-05-07,12850,13200,12550,12800,64251,87527.0,6838015.0
2013-05-08,12850,14200,12650,13950,196183,95390.0,6838015.0
2013-05-09,14050,14050,13550,13800,74424,94365.0,6838015.0
2013-05-10,14500,14800,13700,13900,171113,95048.0,6838015.0
2013-05-13,14050,14100,13100,13200,88820,90262.0,6838015.0
2013-05-14,13200,13400,12700,12750,72154,87185.0,6838015.0
2013-05-15,13100,13550,13000,13100,58166,89578.0,6838015.0
2013-05-16,13350,13550,13000,13300,58147,90946.0,6838015.0
2013-05-20,13300,13300,12950,13000,28408,88894.0,6838015.0
2013-05-21,13000,13600,12900,13450,55658,91971.0,6838015.0
2013-05-22,13600,13650,13200,13250,52560,90604.0,6838015.0
2013-05-23,13100,13350,12850,13200,42107,90262.0,6838015.0
2013-05-24,13300,13300,12950,12950,25828,88552.0,6838015.0
2013-05-27,13100,13200,12500,12650,68058,86501.0,6838015.0
2013-05-28,13100,13800,13100,13550,172175,92655.0,6838015.0
2013-05-29,13600,13750,13300,13350,74022,91288.0,6838015.0
2013-05-30,13450,13550,12900,12900,68539,88210.0,6838015.0
2013-05-31,13100,13100,12550,12750,44377,87185.0,6838015.0
2013-06-03,12750,12900,12600,12600,21386,86159.0,6838015.0
2013-06-04,12650,12800,12100,12250,56590,83766.0,6838015.0
2013-06-05,12100,12300,11900,11950,27007,81714.0,6838015.0
2013-06-07,11950,12450,11600,12150,36653,83082.0,6838015.0
2013-06-10,12250,12350,12000,12050,32131,82398.0,6838015.0
2013-06-11,11900,12150,11500,12000,25392,82056.0,6838015.0
2013-06-12,11850,12700,11850,12150,37787,83082.0,6838015.0
2013-06-13,12150,12400,11800,11950,23082,81714.0,6838015.0
2013-06-14,12050,12100,11600,11600,26550,79321.0,6838015.0
