BGF리테일(282330),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2019-03-11,209000,209000,202000,206000,10256,3560485.0,17283906.0
2019-03-12,209500,209500,201000,201500,14746,3482707.0,17283906.0
2019-03-13,202000,204000,202000,203500,26029,3517275.0,17283906.0
2019-03-14,209500,210000,203500,207000,33103,3577769.0,17283906.0
2019-03-15,211500,217500,208000,215000,54863,3716040.0,17283906.0
2019-03-18,215000,218000,213500,213500,18082,3690114.0,17283906.0
2019-03-19,215000,217500,213500,216000,22243,3733324.0,17283906.0
2019-03-20,219500,220000,215000,219500,26645,3793817.0,17283906.0
2019-03-21,218500,218500,212500,215000,26656,3716040.0,17283906.0
2019-03-22,215000,218500,210500,214000,15852,3698756.0,17283906.0
2019-03-25,215000,215500,212500,213000,9287,3681472.0,17283906.0
2019-03-26,213500,215500,211000,215000,30142,3716040.0,17283906.0
2019-03-27,215000,218500,211500,213000,24710,3681472.0,17283906.0
2019-03-28,211000,218000,209000,217500,24383,3759250.0,17283906.0
2019-03-29,218000,220000,213500,218500,23063,3776533.0,17283906.0
2019-04-01,216000,219500,210000,211000,17051,3646904.0,17283906.0
2019-04-02,210000,214500,208000,213000,26065,3681472.0,17283906.0
2019-04-03,209000,214000,208500,213500,13628,3690114.0,17283906.0
2019-04-04,212500,220000,212000,218500,13600,3776533.0,17283906.0
2019-04-05,218000,220000,215000,218000,10660,3767892.0,17283906.0
2019-04-08,218000,220000,214500,217000,16507,3750608.0,17283906.0
2019-04-09,217000,220000,217000,220000,23250,3802459.0,17283906.0
2019-04-10,220500,227000,220500,224500,22758,3880237.0,17283906.0
2019-04-11,225500,228500,223000,223000,26481,3854311.0,17283906.0
2019-04-12,225500,226500,221000,225500,12562,3897521.0,17283906.0
2019-04-15,223000,230000,223000,227500,23351,3932089.0,17283906.0
2019-04-16,224500,234000,223500,232500,30654,4018508.0,17283906.0
2019-04-17,234000,236500,231500,232000,22884,4009866.0,17283906.0
2019-04-18,232000,235000,230000,232000,16357,4009866.0,17283906.0
2019-04-19,230500,234000,227000,230500,11865,3983940.0,17283906.0
2019-04-22,228000,231000,225000,227500,11325,3932089.0,17283906.0
